,Name,Total,Singles,Doubles
0,"SABALENKA, ARYNA","7,369,635","7,362,685","6,950"
1,"GAUFF, COCO","5,557,372","4,903,882","653,490"
2,"SWIATEK, IGA","5,455,686","5,455,686",
3,"RYBAKINA, ELENA","4,695,437","4,631,334","64,103"
4,"VONDROUSOVA, MARKETA","4,242,953","4,104,203","138,750"
5,"PEGULA, JESSICA","4,176,912","3,471,367","653,490"
6,"MUCHOVA, KAROLINA","2,804,438","2,796,338","8,100"
7,"JABEUR, ONS","2,725,489","2,706,604","18,885"
8,"KVITOVA, PETRA","2,436,381","2,436,381",
9,"KEYS, MADISON","2,356,458","2,339,898","16,560"
10,"SAKKARI, MARIA","2,210,895","2,205,621","5,274"
11,"HADDAD MAIA, BEATRIZ","1,991,822","1,659,666","332,156"
12,"KREJCIKOVA, BARBORA","1,974,093","1,444,599","529,494"
13,"OSTAPENKO, JELENA","1,821,538","1,602,108","197,006"
14,"AZARENKA, VICTORIA","1,715,267","1,435,758","279,509"
15,"MERTENS, ELISE","1,660,488","1,117,130","543,358"
16,"LINETTE, MAGDA","1,633,753","1,438,007","195,746"
17,"BENCIC, BELINDA","1,601,928","1,551,101","50,827"
18,"GARCIA, CAROLINE","1,515,577","1,437,515","78,062"
19,"CIRSTEA, SORANA","1,459,955","1,459,955",
20,"SVITOLINA, ELINA","1,457,493","1,457,493",
21,"ALEXANDROVA, EKATERINA","1,369,316","1,269,365","99,951"
22,"KASATKINA, DARIA","1,366,367","1,333,062","33,305"
23,"KUDERMETOVA, VERONIKA","1,348,131","1,155,918","192,213"
24,"SAMSONOVA, LIUDMILA","1,322,086","1,138,793","175,543"
25,"WANG, XINYU","1,239,289","823,102","416,187"
26,"VEKIC, DONNA","1,238,901","1,179,564","59,337"
27,"BOUZKOVA, MARIE","1,201,799","1,000,852","200,947"
28,"ZHENG, QINWEN","1,151,037","1,151,037",
29,"TREVISAN, MARTINA","1,135,189","1,070,456","64,733"
30,"PLISKOVA, KAROLINA","1,061,629","1,013,744","47,885"
