,Rank,Name,Total,Singles,Doubles,gender
0,1,"Djokovic, Novak","10,590,175","10,581,665","8,510",male
1,2,"Alcaraz, Carlos","9,506,924","9,506,924",0,male
2,3,"Medvedev, Daniil","7,777,474","7,777,474",0,male
3,4,"Sinner, Jannik","5,092,373","5,041,360","51,013",male
4,5,"Rublev, Andrey","4,052,486","3,714,248","338,238",male
5,6,"Tsitsipas, Stefanos","4,051,088","3,948,858","102,230",male
6,7,"Zverev, Alexander","3,614,697","3,517,696","97,001",male
7,8,"Fritz, Taylor","3,306,078","3,219,440","86,638",male
8,9,"Rune, Holger","3,126,784","3,104,273","22,511",male
9,10,"Ruud, Casper","2,945,335","2,919,253","26,082",male
10,11,"de Minaur, Alex","2,645,421","2,580,717","64,704",male
11,12,"Tiafoe, Frances","2,515,811","2,448,285","67,526",male
12,13,"Khachanov, Karen","2,420,612","2,133,602","287,010",male
13,14,"Paul, Tommy","2,363,425","2,303,982","59,443",male
14,15,"Hurkacz, Hubert","2,077,551","1,988,312","89,239",male
15,16,"Norrie, Cameron","2,031,569","2,006,517","25,052",male
16,17,"Shelton, Ben","1,928,095","1,747,224","180,871",male
17,18,"Musetti, Lorenzo","1,877,889","1,832,510","45,379",male
18,19,"Dimitrov, Grigor","1,836,801","1,798,253","38,548",male
19,20,"Davidovich Fokina, Alejandro","1,774,947","1,735,894","39,053",male
20,21,"Cerundolo, Francisco","1,746,986","1,687,443","59,543",male
21,22,"Lehecka, Jiri","1,581,297","1,502,900","78,397",male
22,23,"Mannarino, Adrian","1,529,642","1,462,770","66,872",male
23,24,"Evans, Daniel","1,526,188","1,436,171","90,017",male
24,25,"Jarry, Nicolas","1,489,250","1,454,924","34,326",male
25,26,"Griekspoor, Tallon","1,427,188","1,302,494","124,694",male
26,27,"Bublik, Alexander","1,425,108","1,351,990","73,118",male
27,28,"Coric, Borna","1,423,273","1,418,121","5,152",male
28,29,"Etcheverry, Tomas Martin","1,380,354","1,285,814","94,540",male
29,30,"Eubanks, Christopher","1,349,298","1,278,850","70,448",male
30,31,"McDonald, Mackenzie","1,318,078","1,142,959","175,119",male
31,32,"Struff, Jan-Lennard","1,247,642","1,209,892","37,750",male
32,33,"Djere, Laslo","1,213,643","1,186,516","27,127",male
33,34,"Baez, Sebastian","1,204,693","1,120,085","84,608",male
34,35,"Sonego, Lorenzo","1,189,502","1,149,768","39,734",male
35,36,"Nishioka, Yoshihito","1,172,857","1,134,776","38,081",male
36,37,"Korda, Sebastian","1,163,885","1,150,645","13,240",male
37,38,"Auger-Aliassime, Felix","1,146,234","1,077,063","69,171",male
38,39,"Wawrinka, Stan","1,143,656","1,101,407","42,249",male
39,40,"van de Zandschulp, Botic","1,126,802","927,197","199,605",male
40,41,"Kubler, Jason","1,095,448","745,575","349,873",male
41,42,"Krajicek, Austin","1,088,688",0,"1,088,688",male
42,43,"Karatsev, Aslan","1,060,302","1,027,666","32,636",male
43,44,"Safiullin, Roman","1,036,486","1,012,746","23,740",male
44,45,"Berrettini, Matteo","1,028,055","1,023,735","4,320",male
45,46,"Humbert, Ugo","1,022,354","1,011,194","11,160",male
46,47,"Popyrin, Alexei","1,001,921","956,279","45,642",male
47,48,"Ruusuvuori, Emil","986,547","947,177","39,370",male
48,49,"Kecmanovic, Miomir","970,110","903,864","66,246",male
49,50,"Zhang, Zhizhen","969,246","944,357","24,889",male
50,51,"Skupski, Neal","968,941",0,"968,941",male
51,52,"Wolf, J.J.","965,965","931,498","34,467",male
52,53,"Dodig, Ivan","960,252",0,"960,252",male
53,54,"Koolhof, Wesley","958,181",0,"958,181",male
54,55,"Fucsovics, Marton","941,956","919,061","22,895",male
55,56,"Zapata Miralles, Bernabe","930,523","864,020","66,503",male
56,57,"Hijikata, Rinky","928,092","606,263","321,829",male
57,58,"Murray, Andy","920,656","912,311","8,345",male
58,59,"Bautista Agut, Roberto","919,451","910,781","8,670",male
59,60,"Shapovalov, Denis","907,877","845,646","62,231",male
60,61,"Giron, Marcos","898,591","825,167","73,424",male
61,62,"Purcell, Max","895,616","730,733","164,883",male
62,63,"Carballes Baena, Roberto","888,688","816,233","72,455",male
63,64,"Schwartzman, Diego","876,624","842,266","34,358",male
64,65,"Hanfmann, Yannick","872,488","860,478","12,010",male
65,66,"Altmaier, Daniel","868,305","845,196","23,109",male
66,67,"Rinderknech, Arthur","863,308","777,309","85,999",male
67,68,"Arnaldi, Matteo","862,627","843,787","18,840",male
68,69,"Thompson, Jordan","860,818","766,534","94,284",male
69,70,"Ebden, Matthew","839,666",0,"839,666",male
70,71,"Barrere, Gregoire","824,495","784,684","39,811",male
71,72,"Lajovic, Dusan","824,094","810,363","13,731",male
72,73,"Bopanna, Rohan","821,599",0,"821,599",male
73,74,"O'Connell, Christopher","818,155","792,414","25,741",male
74,75,"Cachin, Pedro","816,432","751,276","65,156",male
75,76,"Cressy, Maxime","814,205","647,570","166,635",male
76,77,"Varillas, Juan Pablo","807,019","762,474","44,545",male
77,78,"Gasquet, Richard","773,320","764,205","9,115",male
78,79,"Galan, Daniel Elahi","766,503","741,876","24,627",male
79,80,"Halys, Quentin","741,732","694,105","47,627",male
80,81,"Kokkinakis, Thanasi","726,039","687,924","38,115",male
81,82,"Bonzi, Benjamin","725,253","682,561","42,692",male
82,83,"Huesler, Marc-Andrea","719,300","660,547","58,753",male
83,84,"Fils, Arthur","717,318","679,518","37,800",male
84,85,"Ofner, Sebastian","715,524","696,016","19,508",male
85,86,"Molcan, Alex","713,435","687,674","25,761",male
86,87,"Ramos-Vinolas, Albert","711,654","680,998","30,656",male
87,88,"Daniel, Taro","694,808","694,023",785,male
88,89,"Munar, Jaume","689,777","647,002","42,775",male
89,90,"Thiem, Dominic","685,502","664,256","21,246",male
90,91,"Wu, Yibing","676,107","661,630","14,477",male
91,92,"Harris, Lloyd","672,941","571,699","101,242",male
92,93,"Ivashka, Ilya","668,650","636,573","32,077",male
93,94,"Roger-Vasselin, Edouard","656,996",0,"656,996",male
94,95,"Gonzalez, Santiago","656,741",0,"656,741",male
95,96,"Draper, Jack","655,984","655,984",0,male
96,97,"Mmoh, Michael","654,641","654,641",0,male
97,98,"Lestienne, Constant","653,762","608,656","45,106",male
98,99,"Isner, John","650,344","558,040","92,304",male
99,100,"Vukic, Aleksandar","647,642","614,048","33,594",male
100,101,"Gojo, Borna","647,311","646,501",810,male
101,102,"Salisbury, Joe","644,874",0,"644,874",male
102,103,"Ram, Rajeev","643,969",0,"643,969",male
103,104,"Pella, Guido","635,382","593,718","41,664",male
