,Rank,diff,pct,women,men
0,1,6094358,61.79575482615268,"SWIATEK, IGA","Djokovic, Novak"
1,2,2550778,76.27940328998251,"SABALENKA, ARYNA","Alcaraz, Carlos"
2,3,2570057,72.18456398755845,"GAUFF, COCO","Medvedev, Daniil"
3,4,2381502,71.47694107546992,"PEGULA, JESSICA","Sinner, Jannik"
4,5,-4503,100.08203778730078,"RYBAKINA, ELENA","Rublev, Andrey"
5,6,451824,90.8260986269929,"VONDROUSOVA, MARKETA","Zverev, Alexander"
6,7,1657702,65.83653905206351,"JABEUR, ONS","Tsitsipas, Stefanos"
7,8,1305109,68.65679778478506,"HADDAD MAIA, BEATRIZ","Rune, Holger"
8,9,1098987,71.84557151732133,"MUCHOVA, KAROLINA","Hurkacz, Hubert"
9,10,870690,74.95212311027608,"SAKKARI, MARIA","Fritz, Taylor"
10,11,659154,79.05808831355331,"KVITOVA, PETRA","Ruud, Casper"
11,12,534715,81.81966854720889,"KEYS, MADISON","de Minaur, Alex"
12,13,464191,83.19834803476222,"KREJCIKOVA, BARBORA","Khachanov, Karen"
13,14,493399,82.00380422988053,"SAMSONOVA, LIUDMILA","Dimitrov, Grigor"
14,15,505936,81.01230003160012,"OSTAPENKO, JELENA","Tiafoe, Frances"
15,16,731048,71.86267268583754,"GARCIA, CAROLINE","Paul, Tommy"
16,17,659066,73.77660622096667,"MERTENS, ELISE","Shelton, Ben"
17,18,335418,84.62467941151529,"LINETTE, MAGDA","Norrie, Cameron"
18,19,226991,88.52065882905066,"AZARENKA, VICTORIA","Cerundolo, Francisco"
19,20,272334,86.18382202235881,"KASATKINA, DARIA","Musetti, Lorenzo"
20,21,161372,91.27664221107918,"ZHENG, QINWEN","Davidovich Fokina, Alejandro"
21,22,138346,92.11787689858687,"KUDERMETOVA, VERONIKA","Mannarino, Adrian"
22,23,149861,91.44525967453842,"BENCIC, BELINDA","Jarry, Nicolas"
23,24,227930,86.85914325280741,"CIRSTEA, SORANA","Auger-Aliassime, Felix"
24,25,228535,86.4814264909265,"BOUZKOVA, MARIE","Lehecka, Jiri"
25,26,196097,88.14113534793994,"SVITOLINA, ELINA","Bublik, Alexander"
26,27,230647,85.90356482794364,"ALEXANDROVA, EKATERINA","Griekspoor, Tallon"
27,28,259449,83.87976851892122,"WANG, XINYU","Evans, Daniel"
28,29,253738,84.0060663210763,"VEKIC, DONNA","Korda, Sebastian"
29,30,340482,77.96150276191598,"SINIAKOVA, KATERINA","Etcheverry, Tomas Martin"
30,31,283370,80.8075239220191,"TREVISAN, MARTINA","Humbert, Ugo"
31,32,287316,80.25605908696402,"SIEGEMUND, LAURA","Eubanks, Christopher"
32,33,285126,80.10536010829065,"KALININA, ANHELINA","McDonald, Mackenzie"
33,34,318804,77.6006430249151,"KOSTYUK, MARTA","Coric, Borna"
34,35,277031,79.93792314839425,"HUNTER, STORM","Struff, Jan-Lennard"
