,Rank,Name,Total,Singles,Doubles
0,1.0,"SWIATEK, IGA","6,683,749","6,683,749",
1,2.0,"SABALENKA, ARYNA","3,736,491","3,736,491",
2,3.0,"PAOLINI, JASMINE","2,853,510","2,445,458","408,052"
3,4.0,"GAUFF, COCO","2,635,054","2,204,194","430,860"
4,5.0,"RYBAKINA, ELENA","2,316,265","2,316,265",
5,6.0,"COLLINS, DANIELLE","1,999,473","1,979,958","19,515"
6,7.0,"ZHENG, QINWEN","1,821,171","1,821,171",
7,8.0,"SAKKARI, MARIA","1,586,467","1,586,467",
8,9.0,"OSTAPENKO, JELENA","1,286,139","968,772","317,367"
9,10.0,"ANDREEVA, MIRRA","1,250,875","1,167,935","82,940"
10,11.0,"MERTENS, ELISE","1,237,195","623,000","614,195"
11,12.0,"KALINSKAYA, ANNA","1,227,919","1,169,698","58,221"
12,13.0,"KOSTYUK, MARTA","1,210,001","1,113,215","96,786"
13,14.0,"YASTREMSKA, DAYANA","1,138,714","1,080,724","57,990"
14,15.0,"SINIAKOVA, KATERINA","1,129,747","524,819","604,928"
15,16.0,"AZARENKA, VICTORIA","1,118,831","1,115,131","3,700"
16,17.0,"VONDROUSOVA, MARKETA","1,117,955","1,063,095","54,860"
17,18.0,"GARCIA, CAROLINE","1,084,919","1,002,315","82,604"
18,19.0,"NAVARRO, EMMA","1,074,546","1,009,744","64,802"
19,20.0,"KASATKINA, DARIA","1,005,483","992,433","13,050"
20,21.0,"NOSKOVA, LINDA","951,851","847,370","104,481"
21,22.0,"PEGULA, JESSICA","942,394","883,853","58,541"
22,23.0,"ALEXANDROVA, EKATERINA","931,355","821,234","110,121"
23,24.0,"HADDAD MAIA, BEATRIZ","919,583","811,331","108,252"
24,25.0,"JABEUR, ONS","888,473","882,203","6,270"
25,26.0,"KEYS, MADISON","887,730","883,475","4,255"
26,27.0,"POTAPOVA, ANASTASIA","868,381","754,756","113,625"
27,28.0,"PAVLYUCHENKOVA, ANASTASIA","837,523","755,566","81,957"
