,Rank,Name,Total,Singles,Doubles
0,1,"Alcaraz, Carlos","2,376,810","2,376,810",0
1,2,"Sinner, Jannik","2,150,400","2,150,400",0
2,3,"Draper, Jack","1,887,836","1,862,546","25,290"
3,4,"Zverev, Alexander","1,832,253","1,814,863","17,390"
4,5,"de Minaur, Alex","1,638,244","1,612,040","26,204"
5,6,"Fritz, Taylor","1,545,706","1,545,706",0
6,7,"Mensik, Jakub","1,469,440","1,449,311","20,129"
7,8,"Djokovic, Novak","1,412,993","1,400,063","12,930"
8,9,"Tsitsipas, Stefanos","1,301,698","1,287,298","14,400"
9,10,"Machac, Tomas","1,194,629","1,138,604","56,025"
10,11,"Shelton, Ben","1,077,260","1,030,066","47,194"
11,12,"Auger-Aliassime, Felix","1,064,989","1,064,989",0
12,13,"Rune, Holger","1,051,205","1,051,205",0
13,14,"Davidovich Fokina, Alejandro","1,011,753","1,008,618","3,135"
14,15,"Ruud, Casper","985,278","985,278",0
15,16,"Musetti, Lorenzo","954,859","953,009","1,850"
16,17,"Shapovalov, Denis","948,676","948,676",0
17,18,"Rublev, Andrey","932,460","898,460","34,000"
18,19,"Medvedev, Daniil","843,940","843,940",0
19,20,"Paul, Tommy","836,001","836,001",0
20,21,"Fils, Arthur","833,062","820,402","12,660"
21,22,"Cerundolo, Francisco","827,057","789,204","37,853"
22,23,"Dimitrov, Grigor","781,866","772,341","9,525"
23,24,"Baez, Sebastian","781,657","756,241","25,416"
24,25,"Hurkacz, Hubert","731,709","726,380","5,329"
25,26,"Lehecka, Jiri","727,772","686,017","41,755"
26,27,"Humbert, Ugo","715,650","706,125","9,525"
27,28,"Griekspoor, Tallon","694,082","636,448","57,634"
28,29,"Berrettini, Matteo","689,631","657,131","32,500"
29,30,"Sonego, Lorenzo","633,356","599,006","34,350"
30,31,"Muller, Alexandre","617,965","596,934","21,031"
31,32,"Monfils, Gael","613,906","613,906",0
32,33,"Korda, Sebastian","606,289","444,914","161,375"
33,34,"Borges, Nuno","601,037","511,395","89,642"
34,35T,"Arevalo, Marcelo","592,135",0,"592,135"
35,35T,"Pavic, Mate","592,135",0,"592,135"
36,37,"Nakashima, Brandon","580,777","556,867","23,910"
37,38,"Popyrin, Alexei","552,005","444,700","107,305"
38,39,"Michelsen, Alex","533,988","504,688","29,300"
39,40,"Cobolli, Flavio","529,720","508,278","21,442"
40,41,"Kecmanovic, Miomir","496,285","466,007","30,278"
41,42,"Martinez, Pedro","495,584","396,895","98,689"
42,43,"Giron, Marcos","484,887","472,599","12,288"
43,44,"Munar, Jaume","465,806","399,521","66,285"
44,45,"Khachanov, Karen","464,084","424,164","39,920"
45,46T,"Heliovaara, Harri","461,020",0,"461,020"
46,46T,"Patten, Henry","461,020",0,"461,020"
47,48,"Etcheverry, Tomas Martin","453,916","412,553","41,363"
48,49,"Thompson, Jordan","448,448","283,108","165,340"
49,50,"Tiafoe, Frances","447,583","445,733","1,850"
50,51,"Tabilo, Alejandro","421,538","369,028","52,510"
51,52,"Tien, Learner","420,898","404,538","16,360"
52,53,"Halys, Quentin","409,909","407,829","2,080"
53,54T,"Cash, Julian","408,230",0,"408,230"
54,54T,"Glasspool, Lloyd","408,230",0,"408,230"
55,56,"Fonseca, Joao","406,600","406,600",0
56,57,"Shevchenko, Alexander","402,615","388,477","14,138"
57,58,"Bergs, Zizou","391,459","386,244","5,215"
58,59,"Altmaier, Daniel","391,281","391,281",0
59,60,"Marozsan, Fabian","388,958","388,958",0
60,61,"Carballes Baena, Roberto","387,040","367,762","19,278"
61,62,"Ugo Carabelli, Camilo","375,520","373,767","1,753"
62,63,"Carreno Busta, Pablo","375,150","359,727","15,423"
63,64,"Darderi, Luciano","374,206","320,274","53,932"
64,65,"Opelka, Reilly","357,395","357,395",0
65,66,"Arnaldi, Matteo","355,852","349,932","5,920"
66,67,"Vavassori, Andrea","350,283","60,305","289,978"
67,68,"Zhang, Zhizhen","335,959","305,439","30,520"
68,69,"Vukic, Aleksandar","330,733","311,426","19,307"
69,70,"Moutet, Corentin","323,262","323,262",0
70,71,"Bonzi, Benjamin","322,391","302,162","20,229"
71,72,"Goffin, David","320,597","308,309","12,288"
72,73,"Mpetshi Perricard, Giovanni","319,957","288,122","31,835"
73,74,"Navone, Mariano","310,033","266,082","43,951"
74,75,"Comesana, Francisco","308,018","292,127","15,891"
75,76,"Bu, Yunchaokete","307,725","293,587","14,138"
76,77,"Harrison, Christian","306,721",0,"306,721"
77,78,"Walton, Adam","304,017","275,715","28,302"
78,79,"Hijikata, Rinky","300,808","262,560","38,248"
79,80,"Brooksby, Jenson","299,930","298,080","1,850"
80,81,"King, Evan","296,071",0,"296,071"
81,82,"Bublik, Alexander","295,566","277,358","18,208"
82,83,"Norrie, Cameron","290,107","288,257","1,850"
83,84,"Bolelli, Simone","289,978",0,"289,978"
84,85,"Struff, Jan-Lennard","289,110","262,906","26,204"
85,86,"Bautista Agut, Roberto","285,588","285,588",0
86,87,"Nardi, Luca","282,061","282,061",0
87,88,"O'Connell, Christopher","281,363","268,245","13,118"
88,89,"van de Zandschulp, Botic","278,513","231,457","47,056"
89,90,"Nishikori, Kei","274,990","274,990",0
90,91,"Bellucci, Mattia","274,824","266,302","8,522"
91,92,"Dzumhur, Damir","273,262","251,395","21,867"
92,93,"Fearnley, Jacob","260,608","258,868","1,740"
93,94,"Safiullin, Roman","257,413","245,125","12,288"
94,95,"Gaston, Hugo","252,809","249,252","3,557"
95,96,"Nishioka, Yoshihito","252,440","252,440",0
96,97,"Kovacevic, Aleksandar","251,828","250,093","1,735"
97,98,"Rinderknech, Arthur","248,422","225,224","23,198"
98,99,"Diallo, Gabriel","234,952","233,102","1,850"
99,100,"Duckworth, James","226,827","207,520","19,307"
100,101,"Lajovic, Dusan","226,812","223,777","3,035"
101,102,"Schoolkate, Tristan","226,442","206,985","19,457"
102,103,"Bhambri, Yuki","222,668",0,"222,668"
103,104,"Guinard, Manuel","214,399","22,545","191,854"
104,105,"Coric, Borna","214,191","214,191",0
105,106,"Boyer, Tristan","208,000","202,862","5,138"
106,107,"Faria, Jaime","207,965","205,535","2,430"
107,108,"Djere, Laslo","196,280","196,280",0
108,109,"Seyboth Wild, Thiago","195,140","195,140",0
109,110,"Jarry, Nicolas","192,247","187,362","4,885"
110,111,"Majchrzak, Kamil","186,613","183,263","3,350"
111,112,"Habib, Hady","186,535","186,535",0
112,113,"Cazaux, Arthur","185,633","170,816","14,817"
113,114,"Monteiro, Thiago","184,050","184,050",0
114,115,"Arneodo, Romain","183,290",0,"183,290"
115,116,"Diaz Acosta, Facundo","178,565","178,565",0
116,117,"Quinn, Ethan","177,788","169,513","8,275"
117,118,"Garin, Cristian","176,580","176,580",0
118,119,"Basavareddy, Nishesh","175,619","175,619",0
119,120,"McDonald, Mackenzie","174,531","155,977","18,554"
120,121,"Wawrinka, Stan","171,960","170,261","1,699"
121,122,"Watanuki, Yosuke","171,177","171,177",0
122,123,"Krueger, Mitchell","169,295","160,310","8,985"
123,124,"Mannarino, Adrian","167,364","166,784",580
124,125,"Holt, Brandon","164,638","164,058",580
125,126,"Medjedovic, Hamad","163,417","163,417",0
126,127,"Kyrgios, Nick","162,093","148,315","13,778"
127,128,"Tu, Li","156,740","130,255","26,485"
128,129,"Tseng, Chun-Hsin","156,465","156,465",0
129,130,"Kotov, Pavel","156,322","155,597",725
130,131,"Eubanks, Christopher","156,318","155,738",580
131,132,"Kokkinakis, Thanasi","155,723","143,435","12,288"
132,133,"Virtanen, Otto","155,581","153,828","1,753"
133,134,"McCabe, James","155,205","155,205",0
134,135,"Basilashvili, Nikoloz","151,034","151,034",0
135,136,"Dougaz, Aziz","149,395","148,090","1,305"
136,137,"Matos, Rafael","147,977",0,"147,977"
137,138,"Passaro, Francesco","146,908","145,058","1,850"
138,139,"Cilic, Marin","146,838","146,838",0
139,140,"Harris, Billy","146,297","144,642","1,655"
140,141T,"Mektic, Nikola","144,065",0,"144,065"
141,141T,"Venus, Michael","144,065",0,"144,065"
142,143T,"Krawietz, Kevin","141,902",0,"141,902"
143,143T,"Puetz, Tim","141,902",0,"141,902"
144,145T,"Doumbia, Sadio","141,871",0,"141,871"
145,145T,"Reboul, Fabien","141,871",0,"141,871"
146,147,"Coria, Federico","139,472","139,472",0
147,148,"Daniel, Taro","138,445","138,445",0
148,149,"Stricker, Dominic","137,586","137,586",0
149,150,"Spizzirri, Eliot","136,345","124,722","11,623"
150,151,"Goransson, Andre","135,777",0,"135,777"
151,152,"Melo, Marcelo","135,083",0,"135,083"
152,153,"Hanfmann, Yannick","133,937","133,937",0
153,154,"Roger-Vasselin, Edouard","133,844",0,"133,844"
154,155,"Nys, Hugo","132,145",0,"132,145"
155,156,"Wong, Coleman","131,284","118,719","12,565"
156,157,"Fucsovics, Marton","130,400","130,400",0
157,158T,"Gonzalez, Maximo","128,653",0,"128,653"
158,158T,"Molteni, Andres","128,653",0,"128,653"
159,160,"Gigante, Matteo","128,162","128,162",0
160,161,"Herbert, Pierre-Hugues","125,773","99,944","25,829"
161,162,"Murray, Jamie","125,541",0,"125,541"
162,163,"Gille, Sander","125,251",0,"125,251"
163,164T,"Salisbury, Joe","125,203",0,"125,203"
164,164T,"Skupski, Neal","125,203",0,"125,203"
165,166,"Zielinski, Jan","123,761",0,"123,761"
166,167,"Galloway, Robert","118,635",0,"118,635"
167,168,"Peers, John","118,477",0,"118,477"
168,169,"Tirante, Thiago Agustin","117,981","116,131","1,850"
169,170,"Romboli, Fernando","117,583",0,"117,583"
170,171,"Shang, Juncheng","116,580","116,580",0
171,172,"Meligeni Alves, Felipe","115,422","103,317","12,105"
172,173,"Klein, Lukas","113,572","113,572",0
173,174,"Svrcina, Dalibor","110,333","108,976","1,357"
174,175,"Vacherot, Valentin","109,770","101,905","7,865"
175,176,"Nagal, Sumit","109,278","108,711",567
176,177,"Dellien, Hugo","109,225","108,720",505
177,178,"Gasquet, Richard","109,098","107,399","1,699"
178,179,"Pouille, Lucas","108,661","106,962","1,699"
179,180,"Verbeek, Sem","108,606",0,"108,606"
180,181,"Behar, Ariel","108,092",0,"108,092"
181,182,"Royer, Valentin","106,464","105,959",505
182,183,"Kopriva, Vit","101,908","99,976","1,932"
183,184,"Jasika, Omar","101,551","101,454",97
184,185,"Koepfer, Dominik","100,021","100,021",0
185,186,"Vliegen, Joran","99,785",0,"99,785"
186,187,"Landaluce, Martin","98,656","98,656",0
187,188,"de Jong, Jesper","97,140","91,086","6,054"
188,189,"Kukushkin, Mikhail","96,831","96,251",580
189,190,"Barrios Vera, Tomas","93,383","89,453","3,930"
190,191,"Ram, Rajeev","93,340",0,"93,340"
191,192,"Mochizuki, Shintaro","92,867","87,917","4,950"
192,193,"Atmane, Terence","92,363","91,824",539
193,194,"Pacheco Mendez, Rodrigo","92,278","87,071","5,207"
194,195,"Smith, John-Patrick","92,140",0,"92,140"
195,196,"Onclin, Gauthier","91,645","90,071","1,574"
196,197,"Galarneau, Alexis","90,060","87,395","2,665"
197,198,"Mmoh, Michael","89,395","87,545","1,850"
198,199,"Uchiyama, Yasutaka","88,002","87,422",580
199,200,"Lestienne, Constant","87,089","87,089",0
200,201,"Nava, Emilio","86,462","84,942","1,520"
201,202,"Ficovich, Juan Pablo","86,203","82,528","3,675"
202,203,"Collignon, Raphael","86,089","81,925","4,164"
203,204,"Samrej, Kasidit","85,934","85,590",344
204,205,"Frantzen, Constantin","84,995",0,"84,995"
205,206,"Blockx, Alexander","83,210","80,041","3,169"
206,207,"Cerundolo, Juan Manuel","82,493","81,628",865
207,208,"Gojo, Borna","82,338","70,050","12,288"
208,209,"Smith, Colton","82,320","81,855",465
209,210,"Burruchaga, Roman Andres","82,247","78,607","3,640"
210,211,"Erler, Alexander","81,091",0,"81,091"
211,212,"Krajicek, Austin","80,760",0,"80,760"
212,213,"Dodig, Ivan","79,380",0,"79,380"
213,214,"Pavlasek, Adam","78,907",0,"78,907"
214,215,"Popko, Dmitry","78,856","76,975","1,881"
215,216,"Galan, Daniel Elahi","77,917","76,182","1,735"
216,217,"Ellis, Blake","77,276","61,288","15,988"
217,218,"Withrow, Jackson","77,082",0,"77,082"
218,219,"Bopanna, Rohan","76,757",0,"76,757"
219,220,"Gomez, Federico Agustin","76,502","65,107","11,395"
220,221,"Ebden, Matthew","75,922",0,"75,922"
221,222,"Mayot, Harold","75,869","75,330",539
222,223,"Kovalik, Jozef","75,189","74,901",288
223,224,"Cabral, Francisco","73,427","2,365","71,062"
224,225,"Gonzalez, Santiago","72,847",0,"72,847"
225,226,"Johnson, Luke","70,511",0,"70,511"
226,227,"Heide, Gustavo","69,622","66,667","2,955"
227,228,"Arends, Sander","68,814",0,"68,814"
228,229,"Haase, Robin","68,361",0,"68,361"
229,230,"Sakamoto, Rei","68,025","58,500","9,525"
230,231,"Chidekh, Clement","67,302","65,516","1,786"
231,232,"Arribage, Theo","66,788","1,465","65,323"
232,233,"Andreozzi, Guido","66,502","1,385","65,117"
233,234,"Moro Canas, Alejandro","66,184","64,969","1,215"
234,235,"Trotter, James","66,118","63,183","2,935"
235,236,"Seggerman, Ryan","65,203","17,020","48,183"
236,237,"Evans, Daniel","64,958","64,958",0
237,238,"Huesler, Marc-Andrea","64,367","61,487","2,880"
238,239,"Taberner, Carlos","64,252","62,809","1,443"
239,240,"Grenier, Hugo","63,636","62,808",828
240,241,"Zeballos, Horacio","63,514",0,"63,514"
241,242,"Blanchet, Ugo","63,355","61,970","1,385"
242,243,"Lajal, Mark","63,169","62,299",870
243,244,"Jebens, Hendrik","63,150",695,"62,455"
244,245,"Trungelliti, Marco","62,610","59,915","2,695"
245,246,"Zeppieri, Giulio","61,346","61,346",0
246,247,"Coppejans, Kimmer","60,694","59,724",970
247,248,"Tracy, JJ","60,661",940,"59,721"
248,249,"Albot, Radu","60,211","58,970","1,241"
249,250,"Rocha, Henrique","59,895","59,041",854
250,251,"Svajda, Zachary","59,153","58,688",465
251,252,"Hemery, Calvin","58,706","58,071",635
252,253,"Vallejo, Adolfo Daniel","57,915","55,425","2,490"
253,254,"Kubler, Jason","57,301","42,936","14,365"
254,255,"Jianu, Filip Cristian","57,014","54,596","2,418"
255,256,"Miedler, Lucas","56,486","1,385","55,101"
256,257,"Kachmazov, Alibek","53,712","52,692","1,020"
257,258,"Wallner, Mark","53,693","1,385","52,308"
258,259,"Rodionov, Jurij","53,373","51,703","1,670"
259,260,"Martineau, Matteo","53,131","50,382","2,749"
260,261,"Hassan, Benjamin","53,078","52,041","1,037"
261,262,"Schnaitter, Jakob","52,308",0,"52,308"
262,263T,"Nouza, Petr","52,306",0,"52,306"
263,263T,"Rikl, Patrik","52,306",0,"52,306"
264,265,"Varillas, Juan Pablo","51,802","51,802",0
265,266,"Balaji, N.Sriram","51,752",0,"51,752"
266,267,"Mejia, Nicolas","51,651","48,246","3,405"
267,268,"Luz, Orlando","51,105","2,669","48,436"
268,269,"Tomic, Bernard","51,027","50,012","1,015"
269,270,"Barrientos, Nicolas","50,963",0,"50,963"
270,271,"Fognini, Fabio","50,783","50,058",725
271,272,"Sultanov, Khumoyun","50,412","47,989","2,423"
272,273,"Granollers, Marcel","50,199",0,"50,199"
273,274,"Reyes-Varela, Miguel","50,127",0,"50,127"
274,275,"Dellien, Murkel","49,867","48,587","1,280"
275,276,"Draxl, Liam","49,366","44,066","5,300"
276,277,"Moller, Elmer","49,105","48,350",755
277,278,"Cash, Robert","49,006",0,"49,006"
278,279,"Bouquier, Arthur","48,174","46,304","1,870"
279,280,"Droguet, Titouan","48,090","47,551",539
280,281,"Jacquet, Kyrian","47,460","46,516",944
281,282,"Mena, Facundo","47,112","44,302","2,810"
282,283,"Neumayer, Lukas","46,657","45,476","1,181"
283,284,"Skatov, Timofey","46,269","45,231","1,038"
284,285,"Buse, Ignacio","46,187","42,488","3,699"
285,286,"Ajdukovic, Duje","45,363","45,363",0
286,287,"Bollipalli, Rithvik Choudary","44,993",0,"44,993"
287,288,"Barrere, Gregoire","44,966","44,966",0
288,289,"Holmgren, August","44,870","43,845","1,025"
289,290,"Blancaneaux, Geoffrey","43,723","31,164","12,559"
290,291,"Collarini, Andrea","43,667","40,192","3,475"
291,292,"Sweeny, Dane","42,934","42,322",612
292,293,"Jacq, Gregoire","42,467",0,"42,467"
293,294,"Tsitsipas, Petros","42,452","1,390","41,062"
294,295,"Cina, Federico","42,370","42,208",162
295,296,"Rojer, Jean-Julien","41,927",0,"41,927"
296,297,"Misolic, Filip","41,514","40,700",814
297,298,"Barranco Cosano, Javier","40,761","39,316","1,445"
298,299,"Kym, Jerome","40,506","37,626","2,880"
299,300,"Couacaud, Enzo","40,432","36,057","4,375"
300,301,"Polmans, Marc","40,294","22,477","17,817"
301,302,"Gueymard Wayenburg, Sascha","40,114","39,085","1,029"
302,303,"Squire, Henri","39,475","39,475",0
303,304,"Paul, Jakub","39,199","19,285","19,914"
304,305,"Shimabukuro, Sho","38,078","38,078",0
305,306,"Gaubas, Vilius","37,731","37,457",274
306,307,"Zhukayev, Beibit","36,678","29,979","6,699"
307,308,"Brouwer, Gijs","36,312","36,312",0
308,309,"Kasnikowski, Maks","36,068","35,971",97
309,310,"Arnaboldi, Federico","35,923","35,923",0
