,Rank,diff,pct,women,men
0,1,297267,88.27944618276788,"SABALENKA, ARYNA","Sinner, Jannik"
1,2,26787,98.17272076128108,"ZHENG, QINWEN","Zverev, Alexander"
2,3,-64391,104.91190517782589,"SWIATEK, IGA","Medvedev, Daniil"
3,4,69178,94.52615620291947,"HUNTER, STORM","de Minaur, Alex"
4,5,-207697,121.73324334364028,"SINIAKOVA, KATERINA","Djokovic, Novak"
5,6,-15842,101.68174454722833,"PAOLINI, JASMINE","Hurkacz, Hubert"
6,7,25076,97.24926531162963,"RYBAKINA, ELENA","Humbert, Ugo"
7,8,64913,92.3116373051349,"GAUFF, COCO","Ruud, Casper"
8,9,-2903,100.37492848203688,"KALINSKAYA, ANNA","Rublev, Andrey"
9,10,30841,95.99191651396416,"OSTAPENKO, JELENA","Fritz, Taylor"
10,11,24926,96.64047442550037,"YASTREMSKA, DAYANA","Baez, Sebastian"
11,12,-29510,104.92006355568375,"GARCIA, CAROLINE","Bublik, Alexander"
12,13,25331,95.71717205873651,"KOSTYUK, MARTA","Tsitsipas, Stefanos"
13,14,1785,99.6856636195702,"NOSKOVA, LINDA","Khachanov, Karen"
14,15,-2982,100.5543657698657,"SAKKARI, MARIA","Norrie, Cameron"
15,16,26745,94.78746418756944,"PEGULA, JESSICA","Griekspoor, Tallon"
16,17,-21777,104.7406230271894,"KREJCIKOVA, BARBORA","Mannarino, Adrian"
17,18,-21153,104.60870758792886,"MERTENS, ELISE","Dimitrov, Grigor"
18,19,604,99.86607538802662,"VONDROUSOVA, MARKETA","Alcaraz, Carlos"
19,20,3114,99.27876598110062,"HADDAD MAIA, BEATRIZ","Thompson, Jordan"
20,21,-1549,100.36961387400198,"AZARENKA, VICTORIA","Davidovich Fokina, Alejandro"
21,22,-3526,100.85665902978384,"BOULTER, KATIE","Lehecka, Jiri"
22,23,-25949,106.71328635145343,"PAVLYUCHENKOVA, ANASTASIA","Zhang, Zhizhen"
23,24,9057,97.6418791023675,"KASATKINA, DARIA","Borges, Nuno"
24,25,23181,93.92120458800761,"VEKIC, DONNA","Paul, Tommy"
25,26,32390,91.36853606214441,"NAVARRO, EMMA","Jarry, Nicolas"
26,27,28745,92.18928319113093,"PLISKOVA, KAROLINA","Kecmanovic, Miomir"
27,28,33138,90.819023555031,"SIEGEMUND, LAURA","Rune, Holger"
28,29,7174,97.83628253191739,"FERNANDEZ, LEYLAH","Korda, Sebastian"
29,30,8593,97.40392749244712,"ALEXANDROVA, EKATERINA","Shelton, Ben"
30,31,7098,97.8270186867821,"ANDREEVA, MIRRA","Cazaux, Arthur"
31,32,7638,97.65902278453079,"CIRSTEA, SORANA","Machac, Tomas"
32,33,-2870,100.90964124636699,"FRECH, MAGDALENA","Ruusuvuori, Emil"
33,34,7154,97.68976151647747,"SVITOLINA, ELINA","Draper, Jack"
34,35,11130,96.38865004299227,"KERBER, ANGELIQUE","Mensik, Jakub"
35,36,2475,99.15781378667337,"HSIEH, SU-WEI","Struff, Jan-Lennard"
36,37,30416,89.59809581133212,"TOMLJANOVIC, AJLA","Cerundolo, Francisco"
37,38,26967,90.58595590930513,"RUS, ARANTXA","Tabilo, Alejandro"
38,39,21560,92.2850108782778,"DODIN, OCEANE","Auger-Aliassime, Felix"
